,,Codigo,Nome,CNPJ
[ABCP11](https://fiibrasil.com/fundo/ABCP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ABCP11-GRAND-PLAZA-SHOPPING.jpg)</span>",ABCP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01.201.140/0001-90
[AFHI11](https://fiibrasil.com/fundo/AFHI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/AFHI11-AF-INVEST-CRI.jpg)</span>",AFHI11,AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58
[AIEC11](https://fiibrasil.com/fundo/AIEC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/AIEC11-AUTONOMY-EDIFICIOS-CORPORATIVOS.jpg)</span>",AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.765.826/0001-26
[ALMI11](https://fiibrasil.com/fundo/ALMI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ALMI11.jpg)</span>",ALMI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO FII TORRE ALMIRANTE,07.122.725/0001-00
[ALZM11](https://fiibrasil.com/fundo/ALZM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ALZM11.jpg)</span>",ALZM11,ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.847.063/0001-08
[ALZR11](https://fiibrasil.com/fundo/ALZR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ALZR11-ALIANZA-TRUST-RENDA-IMOBILIARIA.jpg)</span>",ALZR11,ALIANZA TRUST RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.737.771/0001-85
[ANCR11B](https://fiibrasil.com/fundo/ANCR11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ANCR11B.jpg)</span>",ANCR11B,FUNDO DE INVESTIMENTO IMOBILIÁRIO ANCAR IC,07.789.135/0001-27
[APTO11](https://fiibrasil.com/fundo/APTO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/APTO11.jpg)</span>",APTO11,NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.432.327/0001-82
[APXM11](https://fiibrasil.com/fundo/APXM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/APXM11.jpg)</span>",APXM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43.010.485/0001-07
[AROA11](https://fiibrasil.com/fundo/AROA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/AROA11.jpg)</span>",AROA11,AROEIRA 333 RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.674.528/0001-11
