Ticker,Ticker_YF,currentPrice,regularMarketPreviousClose,averageVolume
ABCP11,ABCP11.SA,77.92,77.37,979
AFHI11,AFHI11.SA,98.44,97.85,12359
AIEC11,AIEC11.SA,51.47,51.9,13346
ALMI11,ALMI11.SA,,656.09,153
ALZM11,ALZM11.SA,8.43,8.46,23886
ALZR11,ALZR11.SA,117.13,117.1,13406
APTO11,APTO11.SA,9.74,9.63,3177
AROA11,AROA11.SA,,1.1,20431
BARI11,BARI11.SA,84.5,84.83,8060
BBFI11B,BBFI11B.SA,1300.0,1304.04,222
BBFO11,BBFO11.SA,,74.94,8922
BBRC11,BBRC11.SA,112.75,112.72,1036
BCFF11,BCFF11.SA,9.1,9.1,347856
BCIA11,BCIA11.SA,106.57,106.39,8267
BCRI11,BCRI11.SA,74.58,74.96,7193
BICR11,BICR11.SA,56.0,56.1,31
BIME11,BIME11.SA,7.25,7.23,16456
BLMG11,BLMG11.SA,39.18,39.27,14182
BLMR11,BLMR11.SA,,6.78,17493
BMLC11,BMLC11.SA,107.15,107.14,1898
BNFS11,BNFS11.SA,121.85,121.8,1134
BPFF11,BPFF11.SA,72.46,72.35,5849
BRCO11,BRCO11.SA,121.97,121.72,24345
BRCR11,BRCR11.SA,57.7,57.81,29366
BTCI11,BTCI11.SA,10.18,10.05,257434
BTLG11,BTLG11.SA,105.23,105.02,139471
BTRA11,BTRA11.SA,,57.78,13461
CACR11,CACR11.SA,,102.81,13518
CARE11,CARE11.SA,1.95,1.95,13270
CBOP11,CBOP11.SA,29.13,29.14,395
CEOC11,CEOC11.SA,46.19,45.97,912
CNES11,CNES11.SA,2.97,2.79,6677
CPFF11,CPFF11.SA,75.96,76.17,6341
CPFO11,CPFO11.SA,,,
CPTS11,CPTS11.SA,,8.51,862621
CRFF11,CRFF11.SA,80.45,82.28,721
CTXT11,CTXT11.SA,10.45,10.61,205
CVBI11,CVBI11.SA,95.13,94.53,27995
CXAG11,CXAG11.SA,79.82,80.01,1762
CXCE11B,CXCE11B.SA,43.99,43.2,511
CXCI11,CXCI11.SA,83.88,83.75,3244
CXCO11,CXCO11.SA,,82.78,1941
CXRI11,CXRI11.SA,81.79,80.16,570
CXTL11,CXTL11.SA,245.79,246.99,22
CYCR11,CYCR11.SA,9.6,9.6,40928
DEVA11,DEVA11.SA,41.07,40.87,31786
DPRO11,DPRO11.SA,7.7,7.66,6140
DVFF11,DVFF11.SA,7.83,7.82,21233
EDFO11B,EDFO11B.SA,229.98,229.98,0
EDGA11,EDGA11.SA,20.06,19.96,1175
EQIR11,EQIR11.SA,,8.99,44013
EURO11,EURO11.SA,249.99,249.99,217
EVBI11,EVBI11.SA,98.9,98.9,5067
FAED11,FAED11.SA,159.0,159.0,526
FAMB11B,FAMB11B.SA,667.85,670.0,49
FATN11,FATN11.SA,95.0,95.28,16119
FCFL11,FCFL11.SA,120.02,122.35,2540
FIGS11,FIGS11.SA,59.59,59.69,3718
